2tau^2	ln(I/I0)	M2 =	64.128 1e6 rad^2s^-2
0.0025	-0.08016004716893153
0.0065	-0.208416122639222
0.0105	-0.3366721981095125
0.0145	-0.46492827357980293
0.0185	-0.5931843490500933
0.0225	-0.7214404245203838
0.0265	-0.8496964999906742
0.0305	-0.9779525754609647
0.0345	-1.1062086509312552
0.0385	-1.2344647264015456
0.0425	-1.3627208018718362
0.0465	-1.4909768773421266
0.0505	-1.6192329528124172
0.0545	-1.7474890282827074
0.0585	-1.875745103752998
0.0625	-2.0040011792232884
0.0665	-2.1322572546935787
0.0705	-2.260513330163869
0.0745	-2.3887694056341595
0.0785	-2.5170254811044503
0.0825	-2.6452815565747407
0.0865	-2.7735376320450307
0.0905	-2.9017937075153215
0.0945	-3.030049782985612
0.0985	-3.1583058584559027
0.1025	-3.2865619339261927
0.1065	-3.414818009396483
0.1105	-3.543074084866774
0.1145	-3.6713301603370643
0.1185	-3.7995862358073547
0.1225	-3.927842311277645
0.1265	-4.056098386747935
0.1305	-4.184354462218226
0.1345	-4.312610537688517
0.1386	-4.444073015045564
0.1426	-4.572329090515855
0.1466	-4.700585165986145
0.1506	-4.828841241456436
0.1546	-4.957097316926726
0.1586	-5.085353392397017
0.1626	-5.213609467867307
0.1666	-5.341865543337597
0.1706	-5.470121618807888
0.1746	-5.598377694278178
0.1786	-5.726633769748469
0.1826	-5.85488984521876
0.1866	-5.983145920689049
0.1906	-6.11140199615934
0.1946	-6.239658071629631
0.1986	-6.367914147099921
0.2026	-6.496170222570211
0.2066	-6.624426298040502
0.2106	-6.752682373510793
0.2146	-6.880938448981083
0.2186	-7.009194524451373
0.2226	-7.137450599921664
0.2266	-7.265706675391954
0.2306	-7.3939627508622445
0.2346	-7.522218826332535
0.2386	-7.650474901802826
0.2426	-7.778730977273116
0.2466	-7.906987052743407
0.2506	-8.035243128213697
0.2546	-8.163499203683987
0.2586	-8.291755279154279
0.2626	-8.420011354624569
0.2666	-8.548267430094858
0.2706	-8.67652350556515
0.2746	-8.80477958103544
0.2786	-8.93303565650573
0.2826	-9.061291731976022
0.2866	-9.189547807446312
0.2906	-9.317803882916602
0.2946	-9.446059958386892
0.2986	-9.574316033857182
0.3026	-9.702572109327471
0.3066	-9.830828184797763
0.3106	-9.959084260268053
0.3146	-10.087340335738343
0.3186	-10.215596411208635
0.3226	-10.343852486678925
0.3266	-10.472108562149216
0.3306	-10.600364637619506
0.3346	-10.728620713089796
0.3386	-10.856876788560088
0.3426	-10.985132864030378
0.3466	-11.113388939500668
0.3506	-11.24164501497096
0.3546	-11.36990109044125
0.3586	-11.498157165911538
0.3626	-11.62641324138183
0.3666	-11.75466931685212
0.3706	-11.88292539232241
0.3746	-12.011181467792701
0.3786	-12.139437543262991
0.3826	-12.267693618733281
0.3866	-12.395949694203573
0.3906	-12.524205769673863
0.3946	-12.652461845144154
0.3986	-12.780717920614444
0.4027	-12.912180397971492
0.4067	-13.040436473441781
0.4107	-13.168692548912073
0.4147	-13.296948624382363
0.4187	-13.425204699852653
0.4227	-13.553460775322945
0.4267	-13.681716850793235
0.4307	-13.809972926263526
0.4347	-13.938229001733815
0.4387	-14.066485077204105
0.4427	-14.194741152674396
0.4467	-14.322997228144686
0.4507	-14.451253303614976
0.4547	-14.579509379085268
0.4587	-14.707765454555558
0.4627	-14.836021530025848
0.4667	-14.96427760549614
0.4707	-15.09253368096643
0.4747	-15.22078975643672
0.4787	-15.349045831907011
0.4827	-15.477301907377301
0.4867	-15.605557982847591
0.4907	-15.733814058317883
0.4947	-15.86207013378817
0.4987	-15.99032620925846
0.5027	-16.118582284728753
0.5067	-16.246838360199046
0.5107	-16.375094435669336
0.5147	-16.503350511139626
0.5187	-16.631606586609916
0.5227	-16.759862662080206
0.5267	-16.888118737550492
0.5307	-17.016374813020786
0.5347	-17.144630888491076
0.5387	-17.272886963961366
0.5427	-17.401143039431656
0.5467	-17.529399114901945
0.5507	-17.65765519037224
0.5547	-17.78591126584253
0.5587	-17.91416734131282
0.5627	-18.04242341678311
0.5667	-18.1706794922534
0.5707	-18.29893556772369
0.5747	-18.427191643193982
0.5787	-18.555447718664272
0.5827	-18.683703794134562
0.5867	-18.811959869604852
0.5907	-18.940215945075142
0.5947	-19.068472020545432
0.5987	-19.196728096015725
0.6027	-19.324984171486015
0.6067	-19.453240246956305
0.6107	-19.581496322426595
0.6147	-19.709752397896885
0.6187	-19.83800847336718
0.6227	-19.96626454883747
0.6267	-20.09452062430776
0.6307	-20.22277669977805
0.6347	-20.35103277524834
0.6387	-20.47928885071863
0.6427	-20.607544926188922
0.6467	-20.735801001659212
0.6507	-20.864057077129498
0.6547	-20.992313152599788
0.6587	-21.120569228070078
0.6627	-21.248825303540368
0.6667	-21.37708137901066
0.6708	-21.50854385636771
0.6748	-21.636799931838
0.6788	-21.76505600730829
0.6828	-21.89331208277858
0.6868	-22.02156815824887
0.6908	-22.149824233719162
0.6948	-22.278080309189452
0.6988	-22.406336384659742
0.7028	-22.534592460130032
0.7068	-22.66284853560032
0.7108	-22.79110461107061
0.7148	-22.919360686540905
0.7188	-23.047616762011195
0.7228	-23.175872837481485
0.7268	-23.304128912951775
0.7308	-23.432384988422065
0.7348	-23.56064106389236
0.7388	-23.68889713936265
0.7428	-23.81715321483294
0.7468	-23.94540929030323
0.7508	-24.07366536577352
0.7548	-24.201921441243808
0.7588	-24.3301775167141
0.7628	-24.45843359218439
0.7668	-24.58668966765468
0.7708	-24.71494574312497
0.7748	-24.84320181859526
0.7788	-24.97145789406555
